Visit ID,BDM Code,BDM Name,Outlet Code,Outlet Name,Visit Date,Check In,Duration (mins),Purpose,Remarks
V00036,BDM004,Ashok Kumar,OA0269,Amman Cellpoint,08/06/2026,12:57,10,followup,display not as per norms
V00037,BDM009,Gowtham S,OA0223,Mobile World Traders,2026-06-18,13:23,25,followup,
V00038,BDM008,Sathya N,OA0566,Ganesh Gadgets,06/06/2026,11:02,45,New onboarding,will order next week
V00039,BDM006,Jegan R,OA0517,Sri Balaji Gadgets,22/07/2026,13:56,8,New onboarding,stock displayed
V00040,BDM012,Yuvaraj S,OA0290,iStore Communications,16/05/2026,14:08,10,New onboarding,display not as per norms
V00041,BDM012,Yuvaraj S,OA0152,Meenakshi Gadgets,08/06/2026,13:02,,Order,collection pending
V00042,BDM007,Mohan Raj,OA0103,New Star Enterprises,2026-06-03,10:03,25,New onboarding,shop closed
V00043,BDM004,Ashok Kumar,OA0681,Lakshmi Agencies,17/05/2026,11:06,30,followup,collection pending
V00044,BDM012,Yuvaraj S,OA0636,Poorvika Electronics,11/07/2026,15:54,45,routine,discussed scheme
V00045,BDM011,Ilango M,OA0700,Lakshmi Electronics,20/05/2026,14:01,15,Order,owner not available
V00046,BDM003,Vetri S,OA0779,Jeyam Agencies,2026-05-29,17:01,30,Collection,shop closed
V00047,BDM010,Praveen K,OA0606,Big C Electronics,19/05/2026,12:36,12,Routine visit,asked for better margin
V00048,BDM001,Sundar R,OA0055,Saravana Digital,22/05/2026,17:02,15,Follow up,
V00049,BDM008,Sathya N,OA0497,New Star Mobile,03/07/2026,14:58,5,Order,
V00050,BDM011,Ilango M,OA0346,Amman Communications,25/06/2026,12:00,25,Routine visit,
V00051,BDM008,Sathya N,OA0424,,22/05/2026,11:10,10,followup,stock displayed
V00052,BDM008,Sathya N,OA0143,Chennai Silks Communications,2026-05-07,13:52,15,Order,
V00053,BDM011,Ilango M,OA0661,Devi Cellpoint,18/05/2026,12:08,30,Stock check,asked for better margin
V00054,BDM003,Vetri S,OA0190,Sangeetha Agencies,30/05/2026,11:54,45,Stock check,asked for better margin
V00055,BDM001,Sundar R,OA0139,Galaxy Infotech,14/05/2026,10:30,25,followup,
V00056,BDM008,Sathya N,OA0227,Devi Cellpoint,08/06/2026,12:22,45,Order,
V00057,BDM006,Jegan R,OA0439,Sakthi Enterprises,19/05/2026,11:50,,routine,
V00058,BDM010,Praveen K,OA0375,,08/07/2026,14:32,,Follow up,
V00059,BDM003,Vetri S,OA0271,Amman Telecom,2026-05-13,12:13,,Routine visit,owner not available
V00060,BDM007,Mohan Raj,OA0117,Anandha Enterprises,14/07/2026,15:08,15,Order,shop closed
V00061,BDM010,Praveen K,OA0134,Jeyam Enterprises,13/05/2026,11:24,8,,stock displayed
V00062,BDM006,Jegan R,OA0439,Sakthi Enterprises,24/06/2026,14:23,8,routine,discussed scheme
V00063,BDM010,Praveen K,OA0806,Modern Communications ,07/07/2026,14:03,15,Follow up,shop closed
V00064,BDM010,Praveen K,OA0702,Sakthi Infotech,28/07/2026,11:16,,Order,collection pending
V00065,BDM007,Mohan Raj,OA0419,New Star Telecom,24/06/2026,13:59,8,routine,
V00066,BDM010,Praveen K,OA0324,Sri Balaji Traders,02/05/2026,14:02,30,,owner not available
V00067,BDM004,Ashok Kumar,OA0511,Thangam Telecom,2026-05-20,16:13,30,Complaint,collection pending
V00068,BDM012,Yuvaraj S,OA0733,New Star Mobile,2026-07-09,11:28,30,,stock displayed
V00069,BDM005,Dhanush P,OA0193,Ganesh Infotech,14/07/2026,12:30,,Routine visit,
V00070,BDM007,Mohan Raj,OA0787,Ram Mobiles,2026-06-24,10:30,25,,owner not available
V00071,BDM006,Jegan R,OA0440,Vasanth Telecom,2026-07-18,11:09,30,Collection,display not as per norms
V00072,BDM006,Jegan R,OA0178,Prime Communications,20/05/2026,11:37,45,,
V00073,BDM009,Gowtham S,OA0287,Royal Mobile,2026-06-25,10:11,10,followup,owner not available
V00074,BDM003,Vetri S,OA0333,City Communications,09/05/2026,10:55,45,Order,owner not available
V00075,BDM003,Vetri S,OA0222,Karpagam Cellpoint,16/07/2026,10:29,25,followup,
V00076,BDM008,Sathya N,OA0241,Muthu Digital,02/05/2026,10:18,30,Routine visit,
V00077,BDM004,Ashok Kumar,OA0564,Sakthi Mobile,04/05/2026,11:49,5,Collection,discussed scheme
V00078,BDM012,Yuvaraj S,OA0293,Mobile World Gadgets,16/07/2026,15:48,10,Stock check,display not as per norms
V00079,BDM008,Sathya N,OA0714,Karpagam Digital,20/07/2026,10:00,20,Routine visit,
V00080,BDM006,Jegan R,OA0364,Galaxy Electronics,17/06/2026,11:18,20,Routine visit,
V00081,BDM008,Sathya N,OA0108,Anandha Mobiles,11/05/2026,12:00,45,Complaint,owner not available
V00082,BDM009,Gowtham S,OA0458,Saravana Agencies,2026-07-03,12:42,,New onboarding,discussed scheme
V00083,BDM008,Sathya N,OA0399,Muthu Electronics,23/05/2026,10:10,10,New onboarding,shop closed
V00084,BDM011,Ilango M,OA0721,Devi Agencies,02/07/2026,14:46,5,New onboarding,stock displayed
V00085,BDM011,Ilango M,OA0309,Ganesh Cellpoint,07/07/2026,15:12,10,Order,will order next week
V00086,BDM004,Ashok Kumar,OA0249,Lakshmi Mobile,19/05/2026,11:01,10,Stock check,shop closed
V00087,BDM004,Ashok Kumar,OA0174,Universal Enterprises,01/07/2026,15:35,45,New onboarding,display not as per norms
V00088,BDM007,Mohan Raj,OA0004,Bharath Digital,2026-06-12,12:46,5,Routine visit,
V00089,BDM012,Yuvaraj S,OA0407,Meenakshi Enterprises,06/05/2026,11:04,12,Stock check,shop closed
V00090,BDM005,Dhanush P,OA0182,Devi Telecom,2026-07-02,14:09,5,Routine visit,stock displayed
V00091,BDM011,Ilango M,OA0811,Big C Agencies ,22/06/2026,11:09,20,Collection,will order next week
V00092,BDM005,Dhanush P,OA0450,Sangeetha Enterprises,03/07/2026,13:45,5,Stock check,
V00093,BDM004,Ashok Kumar,OA0745,Thangam Telecom,2026-07-28,11:12,8,Follow up,
V00094,BDM003,Vetri S,OA0341,Prime Electronics,05/07/2026,11:38,5,Routine visit,shop closed
V00095,BDM008,Sathya N,OA0519,Sakthi Cellpoint,08/07/2026,13:06,10,routine,
V00096,BDM002,Prakash M,OA0728,Thangam Telecom,2026-06-29,13:24,12,Collection,owner not available
V00097,BDM005,Dhanush P,OA0069,Mobile World Infotech,11/06/2026,13:49,45,Follow up,
V00098,BDM002,Prakash M,OA0420,Saravana Mobile,05/06/2026,14:13,15,routine,
V00099,BDM004,Ashok Kumar,OA0403,Mobile World Digital,2026-07-02,11:56,5,Stock check,shop closed
V00100,BDM012,Yuvaraj S,OA0405,Galaxy Digital,2026-07-03,12:07,30,followup,stock displayed
V00101,BDM003,Vetri S,OA0340,Devi Agencies,23/05/2026,11:33,5,followup,
V00102,BDM006,Jegan R,OA0332,Sri Krishna Gadgets,30/06/2026,13:51,5,followup,
V00103,BDM003,Vetri S,OA0107,Sri Krishna Traders,2026-05-21,16:00,20,Routine visit,stock displayed
V00104,BDM010,Praveen K,OA0717,Poorvika Traders,08/07/2026,13:17,45,routine,collection pending
V00105,BDM012,Yuvaraj S,OA0313,Chennai Silks Digital,2026-05-11,12:19,,routine,discussed scheme
V00106,BDM009,Gowtham S,OA0123,Muthu Mobiles,2026-05-13,14:23,8,routine,shop closed
V00107,BDM010,Praveen K,OA0314,Muthu Enterprises,18/07/2026,11:29,15,Routine visit,asked for better margin
V00108,BDM004,Ashok Kumar,OA0521,Meenakshi Mobile,05/07/2026,10:31,25,Complaint,
V00109,BDM001,Sundar R,OA0618,City Telecom,15/05/2026,12:12,,Stock check,asked for better margin
V00110,BDM001,Sundar R,OA0481,Muthu Traders,26/05/2026,11:49,45,followup,discussed scheme
V00111,BDM010,Praveen K,OA0245,Karpagam Infotech,2026-06-26,14:35,45,Routine visit,stock displayed
V00112,BDM012,Yuvaraj S,OA0197,Prime Digital,06/06/2026,13:05,,Complaint,stock displayed
V00113,BDM012,Yuvaraj S,OA0290,iStore Communications,2026-07-04,10:16,15,Follow up,stock displayed
V00114,BDM003,Vetri S,OA0002,Sakthi Telecom,06/07/2026,15:57,25,followup,collection pending
V00115,BDM002,Prakash M,OA0215,Sri Krishna Electronics,28/05/2026,13:27,5,Complaint,stock displayed
V00116,BDM001,Sundar R,OA0406,Saravana Communications,22/06/2026,11:14,20,followup,collection pending
V00117,BDM010,Praveen K,OA0090,Devi Traders,06/07/2026,13:40,15,routine,discussed scheme
V00118,BDM010,Praveen K,OA0638,Royal Enterprises,29/07/2026,11:19,12,Stock check,
V00119,BDM007,Mohan Raj,OA0056,City Communications,03/07/2026,11:43,25,Follow up,
V00120,BDM008,Sathya N,OA0566,Ganesh Gadgets,30/06/2026,15:42,45,New onboarding,asked for better margin
V00121,BDM004,Ashok Kumar,OA0716,Anandha Communications,27/05/2026,15:34,,Follow up,will order next week
V00122,BDM007,Mohan Raj,OA0081,Devi Communications,25/07/2026,14:22,20,New onboarding,display not as per norms
V00123,BDM008,Sathya N,OA0749,Thangam Digital,30/07/2026,13:40,5,Routine visit,
V00124,BDM010,Praveen K,OA0643,Sri Krishna Communications,2026-07-17,11:33,10,,
V00125,BDM011,Ilango M,OA0060,,2026-05-29,11:05,15,Order,collection pending
V00126,BDM002,Prakash M,OA0675,Jeyam Enterprises,02/07/2026,12:43,,Collection,shop closed
V00127,BDM006,Jegan R,OA0080,Chennai Silks Enterprises,12/05/2026,14:44,15,routine,display not as per norms
V00128,BDM011,Ilango M,OA0040,Modern Mobile,26/06/2026,10:25,25,routine,owner not available
V00129,BDM012,Yuvaraj S,OA0792,Devi Mobile,05/05/2026,14:23,,Follow up,
V00130,BDM010,Praveen K,OA0256,Muthu Gadgets,21/07/2026,11:38,30,Routine visit,stock displayed
V00131,BDM009,Gowtham S,OA0343,Galaxy Infotech,24/05/2026,17:07,20,Complaint,owner not available
V00132,BDM005,Dhanush P,OA0591,City Traders,2026-07-21,,5,Complaint,
V00133,BDM001,Sundar R,OA0009,Jeyam Enterprises,2026-05-06,12:50,,Stock check,
V00134,BDM006,Jegan R,OA0429,Sri Balaji Telecom,24/07/2026,11:37,12,Collection,collection pending
V00135,BDM003,Vetri S,OA0578,Sri Krishna Cellpoint,19/05/2026,12:03,5,Complaint,stock displayed
V00136,BDM007,Mohan Raj,OA0630,Anandha Telecom,2026-05-19,16:00,25,Routine visit,asked for better margin
V00137,BDM003,Vetri S,OA0583,Anandha Mobile,07/05/2026,10:05,15,Stock check,display not as per norms
V00138,BDM006,Jegan R,OA0070,Big C Digital,08/07/2026,12:05,30,New onboarding,will order next week
V00139,BDM010,Praveen K,OA0398,Chennai Silks Mobile,20/07/2026,12:25,10,,owner not available
V00140,BDM012,Yuvaraj S,OA0197,Prime Digital,11/05/2026,11:47,25,Follow up,will order next week
V00141,BDM010,Praveen K,OA0703,Thangam Telecom,29/07/2026,11:52,5,Routine visit,display not as per norms
V00142,BDM012,Yuvaraj S,OA0698,Sri Balaji Gadgets,2026-07-08,15:24,15,Follow up,collection pending
V00143,BDM008,Sathya N,OA0311,Mobile World Traders,13/06/2026,10:25,15,followup,
V00144,BDM001,Sundar R,OA0570,New Star Infotech,13/06/2026,15:10,,Order,
V00145,BDM007,Mohan Raj,OA0512,Universal Mobiles,2026-07-30,10:20,45,Routine visit,stock displayed
V00146,BDM003,Vetri S,OA0277,,23/06/2026,13:24,12,Stock check,discussed scheme
V00147,BDM003,Vetri S,OA0144,Modern Telecom,06/05/2026,14:38,25,followup,shop closed
V00148,BDM004,Ashok Kumar,OA0668,Bharath Mobiles,13/05/2026,13:11,30,Routine visit,display not as per norms
V00149,BDM001,Sundar R,OA0707,iStore Enterprises,01/06/2026,13:00,20,Routine visit,asked for better margin
V00150,BDM012,Yuvaraj S,OA0462,Royal Digital,08/05/2026,14:34,10,Follow up,will order next week
V00151,BDM009,Gowtham S,OA0459,Amman Mobiles,08/07/2026,10:27,5,New onboarding,
V00152,BDM012,Yuvaraj S,OA0659,Thangam Cellpoint,2026-06-18,13:15,12,Collection,shop closed
V00153,BDM012,Yuvaraj S,OA0770,Sri Krishna Agencies,13/06/2026,14:06,20,Collection,stock displayed
V00154,BDM010,Praveen K,OA0726,Sri Balaji Traders,26/05/2026,14:43,12,Follow up,
V00155,BDM008,Sathya N,OA0444,Meenakshi Mobile,26/07/2026,12:40,10,New onboarding,asked for better margin
V00156,BDM001,Sundar R,OA0326,Selvam Communications,07/07/2026,10:59,,Collection,owner not available
V00157,BDM006,Jegan R,OA0044,Muthu Mobiles,11/05/2026,12:29,15,Stock check,
V00158,BDM003,Vetri S,OA0786,Vasanth Electronics,2026-05-23,10:01,15,Complaint,discussed scheme
V00159,BDM010,Praveen K,OA0325,Meenakshi Telecom,2026-06-09,13:24,,New onboarding,will order next week
V00160,BDM010,Praveen K,OA0135,Selvam Mobiles,13/06/2026,12:07,12,New onboarding,stock displayed
V00161,BDM002,Prakash M,OA0758,Prime Mobile,2026-05-19,13:17,,,display not as per norms
V00162,BDM012,Yuvaraj S,OA0589,Sakthi Electronics,10/06/2026,10:45,30,followup,owner not available
V00163,BDM001,Sundar R,OA0441,Bharath Enterprises,2026-05-02,13:00,20,Routine visit,
V00164,BDM002,Prakash M,OA0531,Prime Cellpoint,2026-06-13,11:06,15,Routine visit,
V00165,BDM010,Praveen K,OA0783,iStore Telecom,2026-07-24,15:00,5,Complaint,
V00166,BDM005,Dhanush P,OA0573,Muthu Communications,22/07/2026,13:45,12,routine,asked for better margin
V00167,BDM011,Ilango M,OA0022,,09/05/2026,16:00,30,Routine visit,
V00168,BDM006,Jegan R,OA0178,Prime Communications,2026-06-01,10:05,15,Follow up,
V00169,BDM008,Sathya N,OA0629,Big C Traders,2026-06-18,15:48,,Collection,
V00170,BDM010,Praveen K,OA0767,Royal Communications,08/05/2026,10:42,,Follow up,
V00171,BDM006,Jegan R,OA0335,Amman Communications,2026-07-15,14:11,30,Stock check,
V00172,BDM010,Praveen K,OA0210,Mobile World Enterprises,22/05/2026,11:20,,Stock check,discussed scheme
V00173,BDM009,Gowtham S,OA0388,Galaxy Telecom,18/05/2026,10:21,,,will order next week
V00174,BDM005,Dhanush P,OA0816,MUTHU AGENCIES,02/07/2026,12:49,45,Complaint,display not as per norms
V00175,BDM007,Mohan Raj,OA0153,Galaxy Infotech,27/05/2026,12:05,12,Complaint,
V00176,BDM007,Mohan Raj,OA0549,Royal Gadgets,17/06/2026,12:13,12,Complaint,asked for better margin
V00177,BDM010,Praveen K,OA0726,Sri Balaji Traders,29/05/2026,14:05,20,Follow up,
V00178,BDM011,Ilango M,OA0544,Sri Balaji Telecom,2026-05-18,10:18,25,Routine visit,
V00179,BDM005,Dhanush P,OA0559,Karpagam Cellpoint,06/05/2026,12:36,,Routine visit,
V00180,BDM010,Praveen K,OA0076,Royal Agencies,03/06/2026,14:51,45,Collection,shop closed
V00181,BDM004,Ashok Kumar,OA0763,Kumaran Traders,2026-05-14,10:53,20,followup,asked for better margin
V00182,BDM010,Praveen K,OA0538,Royal Infotech,2026-05-16,11:34,,Stock check,
V00183,BDM001,Sundar R,OA0760,Sakthi Infotech,27/06/2026,10:28,30,Routine visit,owner not available
V00184,BDM009,Gowtham S,OA0308,Prime Cellpoint,23/06/2026,10:11,,New onboarding,
V00185,BDM011,Ilango M,OA0642,,09/05/2026,10:13,30,followup,display not as per norms
V00186,BDM006,Jegan R,OA0429,Sri Balaji Telecom,2026-06-19,11:08,25,New onboarding,asked for better margin
V00187,BDM011,Ilango M,OA0374,Karpagam Telecom,22/05/2026,13:59,25,Order,stock displayed
V00188,BDM006,Jegan R,OA0439,Sakthi Enterprises,26/05/2026,12:01,25,Routine visit,owner not available
V00189,BDM005,Dhanush P,OA0510,Prime Cellpoint,08/06/2026,10:16,45,New onboarding,
V00190,BDM004,Ashok Kumar,OA0545,Vasanth Agencies,17/05/2026,11:03,,routine,shop closed
V00191,BDM011,Ilango M,OA0374,Karpagam Telecom,2026-06-09,12:18,30,,
V00192,BDM006,Jegan R,OA0439,Sakthi Enterprises,29/06/2026,10:40,10,Routine visit,
V00193,BDM010,Praveen K,OA0314,Muthu Enterprises,11/06/2026,12:14,12,followup,
V00194,BDM012,Yuvaraj S,OA0405,Galaxy Digital,2026-05-31,14:00,20,Collection,stock displayed
V00195,BDM008,Sathya N,OA0584,iStore Electronics,22/07/2026,17:19,10,Order,collection pending
V00196,BDM002,Prakash M,OA0818,Selvam Agencies ,20/05/2026,16:49,30,Collection,
V00197,BDM005,Dhanush P,OA0492,Muthu Agencies,2026-06-15,14:11,,Complaint,
V00198,BDM004,Ashok Kumar,OA0478,Big C Mobile,01/06/2026,10:14,,Complaint,
V00199,BDM002,Prakash M,OA0724,New Star Communications,21/06/2026,11:47,15,Order,asked for better margin
V00200,BDM004,Ashok Kumar,OA0668,Bharath Mobiles,2026-07-28,01:10,5,followup,asked for better margin
V00201,BDM003,Vetri S,OA0762,Sakthi Electronics,2026-07-16,16:11,,Follow up,will order next week
V00202,BDM005,Dhanush P,OA0554,Modern Digital,06/05/2026,13:44,,Complaint,
V00203,BDM011,Ilango M,OA0309,Ganesh Cellpoint,2026-07-15,13:46,5,Routine visit,display not as per norms
V00204,BDM003,Vetri S,OA0188,Muthu Cellpoint,22/07/2026,10:27,12,,display not as per norms
V00205,BDM005,Dhanush P,OA0250,Ram Enterprises,26/05/2026,11:14,20,Complaint,
V00206,BDM008,Sathya N,OA0472,Big C Gadgets,2026-07-17,13:01,,Order,display not as per norms
V00207,BDM007,Mohan Raj,OA0710,Karpagam Agencies,01/06/2026,12:53,25,Complaint,shop closed
V00208,BDM006,Jegan R,OA0166,Big C Infotech,23/06/2026,11:38,12,routine,
V00209,BDM005,Dhanush P,OA0394,Prime Mobile,13/07/2026,10:54,12,,
V00210,BDM010,Praveen K,OA0134,Jeyam Enterprises,19/05/2026,15:02,15,Order,
V00211,BDM009,Gowtham S,OA0574,Amman Digital,14/07/2026,11:20,10,Follow up,
V00212,BDM008,Sathya N,OA0714,Karpagam Digital,25/05/2026,16:00,30,Routine visit,stock displayed
V00213,BDM004,Ashok Kumar,OA0357,Universal Mobile,07/05/2026,11:11,45,Routine visit,owner not available
V00214,BDM012,Yuvaraj S,OA0367,Devi Gadgets,19/06/2026,12:13,12,Collection,
V00215,BDM011,Ilango M,OA0620,Ganesh Infotech,2026-05-13,13:13,8,New onboarding,display not as per norms
V00216,BDM009,Gowtham S,OA0308,Prime Cellpoint,2026-05-09,15:45,15,Follow up,display not as per norms
V00217,BDM007,Mohan Raj,OA0231,Lakshmi Gadgets,15/06/2026,10:21,,Follow up,shop closed
V00218,BDM006,Jegan R,OA0166,Big C Infotech,2026-07-21,10:23,30,Collection,will order next week
V00219,BDM004,Ashok Kumar,OA0763,Kumaran Traders,2026-07-16,10:51,8,Order,owner not available
V00220,BDM005,Dhanush P,OA0753,Big C Traders,2026-06-08,13:18,45,,display not as per norms
V00221,BDM004,Ashok Kumar,OA0564,Sakthi Mobile,2026-06-06,11:29,10,Order,shop closed
V00222,BDM011,Ilango M,OA0024,Amman Electronics,2026-07-16,13:07,20,Stock check,
V00223,BDM002,Prakash M,OA0160,Jeyam Electronics,08/05/2026,15:07,15,Routine visit,will order next week
V00224,BDM001,Sundar R,OA0730,Saravana Communications,21/06/2026,11:10,20,followup,display not as per norms
V00225,BDM007,Mohan Raj,OA0056,,12/05/2026,16:36,25,routine,discussed scheme
V00226,BDM010,Praveen K,OA0213,Prime Electronics,08/07/2026,13:45,12,Order,display not as per norms
V00227,BDM002,Prakash M,OA0691,Royal Traders,2026-05-14,12:55,5,Collection,display not as per norms
V00228,BDM005,Dhanush P,OA0158,Ganesh Electronics,07/07/2026,10:37,30,Stock check,will order next week
V00229,BDM002,Prakash M,OA0169,Meenakshi Traders,16/07/2026,11:17,8,,collection pending
V00230,BDM002,Prakash M,OA0052,Kumaran Agencies,12/05/2026,11:47,20,New onboarding,
V00231,BDM002,Prakash M,OA0585,Meenakshi Cellpoint,29/05/2026,11:00,25,Routine visit,
V00232,BDM011,Ilango M,OA0781,City Gadgets,13/06/2026,10:36,12,Order,
V00233,BDM008,Sathya N,OA0714,Karpagam Digital,13/07/2026,12:00,25,Routine visit,owner not available
V00234,BDM004,Ashok Kumar,OA0225,Karpagam Cellpoint,28/07/2026,15:08,20,followup,
V00235,BDM004,Ashok Kumar,OA0211,Poorvika Gadgets,15/06/2026,15:26,,Stock check,
V00236,BDM004,Ashok Kumar,OA0025,Sangeetha Agencies,2026-06-29,10:08,25,Complaint,stock displayed
V00237,BDM007,Mohan Raj,OA0115,Bharath Electronics,14/07/2026,15:14,,Complaint,
V00238,BDM004,Ashok Kumar,OA0264,Thangam Enterprises,22/07/2026,11:15,10,Complaint,
V00239,BDM011,Ilango M,OA0327,Prime Digital,15/06/2026,14:00,,Order,
V00240,BDM008,Sathya N,OA0523,Mobile World Mobiles,09/06/2026,02:34,20,,
V00241,BDM004,Ashok Kumar,OA0685,Selvam Gadgets,2026-06-03,15:36,,Complaint,
V00242,BDM002,Prakash M,OA0147,Jeyam Enterprises,2026-07-09,11:18,,Order,
V00243,BDM009,Gowtham S,OA0596,Saravana Mobile,20/07/2026,11:39,15,New onboarding,owner not available
V00244,BDM005,Dhanush P,OA0672,Saravana Cellpoint,13/06/2026,16:24,25,,
V00245,BDM011,Ilango M,OA0619,Muthu Infotech,2026-05-28,10:14,30,Routine visit,discussed scheme
V00246,BDM003,Vetri S,OA0195,Prime Cellpoint,16/05/2026,10:36,5,routine,stock displayed
V00247,BDM004,Ashok Kumar,OA0116,Chennai Silks Communications,22/05/2026,16:54,12,Routine visit,collection pending
V00248,BDM007,Mohan Raj,OA0526,Galaxy Cellpoint,2026-06-05,11:32,20,routine,collection pending
V00249,BDM008,Sathya N,OA0169,Meenakshi Traders,2026-05-17,11:00,25,Routine visit,
V00250,BDM005,Dhanush P,OA0150,Universal Communications,13/06/2026,13:33,45,followup,discussed scheme
V00251,BDM004,Ashok Kumar,OA0490,Amman Mobiles,28/07/2026,10:18,12,followup,shop closed
V00252,BDM012,Yuvaraj S,OA0121,Devi Digital,31/05/2026,14:09,20,New onboarding,
V00253,BDM004,Ashok Kumar,OA0225,Karpagam Cellpoint,12/06/2026,13:03,45,Routine visit,shop closed
V00254,BDM011,Ilango M,OA0172,iStore Electronics,2026-06-08,17:12,25,Complaint,collection pending
V00255,BDM003,Vetri S,OA0074,,15/05/2026,15:05,12,Stock check,owner not available
V00256,BDM012,Yuvaraj S,OA0302,Saravana Telecom,25/06/2026,16:29,,,
V00257,BDM012,Yuvaraj S,OA0527,Devi Mobile,2026-05-05,14:00,30,Routine visit,display not as per norms
V00258,BDM011,Ilango M,OA0109,Bharath Infotech,2026-07-24,12:41,12,Stock check,asked for better margin
V00259,BDM010,Praveen K,OA0179,Ram Agencies,06/07/2026,11:41,45,,discussed scheme
V00260,BDM008,Sathya N,OA0588,Sri Balaji Electronics,27/07/2026,12:47,20,New onboarding,
V00261,BDM002,Prakash M,OA0585,Meenakshi Cellpoint,08/05/2026,10:00,25,Routine visit,
V00262,BDM006,Jegan R,OA0641,Bharath Enterprises,2026-06-12,11:32,8,New onboarding,
V00263,BDM001,Sundar R,OA0815,BIG C INFOTECH,27/05/2026,13:04,,Routine visit,
V00264,BDM007,Mohan Raj,OA0010,City Infotech,14/07/2026,15:06,20,Complaint,discussed scheme
V00265,BDM010,Praveen K,OA0402,Kumaran Digital,30/06/2026,15:28,45,routine,
V00266,BDM010,Praveen K,OA0380,Modern Traders,2026-07-11,11:43,25,Routine visit,asked for better margin
V00267,BDM006,Jegan R,OA0517,Sri Balaji Gadgets,2026-07-09,10:20,5,followup,
V00268,BDM005,Dhanush P,OA0095,iStore Traders,06/06/2026,10:45,20,routine,
V00269,BDM002,Prakash M,OA0569,,21/05/2026,10:09,8,Follow up,
